class_name,class_label,landmark_0_x,landmark_0_y,landmark_0_z,landmark_1_x,landmark_1_y,landmark_1_z,landmark_2_x,landmark_2_y,landmark_2_z,landmark_3_x,landmark_3_y,landmark_3_z,landmark_4_x,landmark_4_y,landmark_4_z,landmark_5_x,landmark_5_y,landmark_5_z,landmark_6_x,landmark_6_y,landmark_6_z,landmark_7_x,landmark_7_y,landmark_7_z,landmark_8_x,landmark_8_y,landmark_8_z,landmark_9_x,landmark_9_y,landmark_9_z,landmark_10_x,landmark_10_y,landmark_10_z,landmark_11_x,landmark_11_y,landmark_11_z,landmark_12_x,landmark_12_y,landmark_12_z,landmark_13_x,landmark_13_y,landmark_13_z,landmark_14_x,landmark_14_y,landmark_14_z,landmark_15_x,landmark_15_y,landmark_15_z,landmark_16_x,landmark_16_y,landmark_16_z,landmark_17_x,landmark_17_y,landmark_17_z,landmark_18_x,landmark_18_y,landmark_18_z,landmark_19_x,landmark_19_y,landmark_19_z,landmark_20_x,landmark_20_y,landmark_20_z
யூ,156,0.20631933,0.6500647,6.2054744e-07,0.253932,0.6238425,-0.01932129,0.28833026,0.56842595,-0.032150187,0.26761875,0.51713467,-0.044131618,0.22276065,0.50373834,-0.05870695,0.2875771,0.46559247,-0.03508629,0.3269345,0.39213538,-0.05790106,0.3531574,0.3402843,-0.07516136,0.37369782,0.2940188,-0.08827394,0.2526711,0.4503472,-0.04452187,0.281865,0.3606158,-0.06395674,0.3038679,0.29691207,-0.08202504,0.32168043,0.24169621,-0.09551576,0.21575445,0.46133605,-0.055245247,0.22514263,0.36805078,-0.075988315,0.23587592,0.3041556,-0.09488638,0.24596721,0.24972497,-0.107731,0.17631942,0.492012,-0.067228585,0.1728327,0.420952,-0.08854922,0.17179924,0.37025934,-0.09972635,0.1719409,0.32286847,-0.1070379
மை,147,0.23714077,0.56149185,5.437974e-07,0.3053633,0.5332125,-0.04426216,0.36162788,0.44498456,-0.05855931,0.4051085,0.373975,-0.07018614,0.44801039,0.32870758,-0.0804517,0.31029272,0.32777235,-0.03971384,0.33736175,0.2222375,-0.06630568,0.35589328,0.15627283,-0.08171113,0.36840972,0.0986827,-0.0915715,0.25988585,0.3140557,-0.037973072,0.26323327,0.20684545,-0.07471228,0.27276605,0.13128905,-0.09869491,0.2768028,0.06483191,-0.11201554,0.2121292,0.32741943,-0.041422922,0.1904937,0.2528504,-0.09130575,0.20854703,0.3107715,-0.10850442,0.22718263,0.35633895,-0.10796992,0.16880889,0.3590107,-0.047874868,0.14811477,0.29075518,-0.08474297,0.13320167,0.25037265,-0.09865166,0.12269908,0.2065838,-0.10344283
வி,189,0.184861,0.581269,1.9883926e-07,0.25125757,0.56807333,-0.041847847,0.3162443,0.52156794,-0.06782529,0.3561821,0.4668613,-0.089619696,0.39433646,0.42107856,-0.10676201,0.2733092,0.38624957,-0.06702392,0.28567448,0.31190637,-0.119342476,0.28916952,0.36785275,-0.14419588,0.28796956,0.43156064,-0.15295684,0.22842577,0.36549827,-0.07020442,0.23688519,0.24697646,-0.11202579,0.2430365,0.17776932,-0.13318339,0.24569641,0.113092124,-0.14623855,0.18479261,0.37497675,-0.07878377,0.18078476,0.26532677,-0.11750125,0.18642607,0.19514684,-0.13234189,0.19434622,0.13665873,-0.14036545,0.14317217,0.40685052,-0.09056935,0.11422999,0.33504257,-0.12061035,0.096800104,0.28160185,-0.1304773,0.08581914,0.22759882,-0.13531351
ஙா,44,0.69694614,0.47642386,-2.405005e-07,0.6269001,0.48152348,-0.027379876,0.5514659,0.39976618,-0.03400612,0.50726837,0.33447462,-0.039077856,0.46740773,0.30991772,-0.04576523,0.6100075,0.32604942,-0.031203445,0.6085383,0.24028026,-0.049967192,0.60462826,0.17558339,-0.07198422,0.6027253,0.120801866,-0.09241017,0.6636575,0.29954883,-0.02870819,0.6559057,0.41208172,-0.051341485,0.6361558,0.429641,-0.062794484,0.6296302,0.41865507,-0.07309499,0.7101505,0.32621434,-0.028957477,0.6916064,0.43228793,-0.050602615,0.6737286,0.44667867,-0.04953759,0.66912055,0.43440855,-0.04882513,0.7435303,0.36288625,-0.032014985,0.7295271,0.4355845,-0.05809244,0.71288306,0.4589023,-0.061443646,0.70797354,0.4607119,-0.060111005
ழை,207,0.79310644,0.7828144,-1.0982817e-06,0.70235294,0.7038282,-0.032082275,0.649875,0.5737453,-0.043748233,0.6285492,0.46712998,-0.0530713,0.6144882,0.38425693,-0.058405343,0.74565655,0.46170807,-0.030074572,0.698417,0.50245935,-0.06252446,0.6969862,0.5751172,-0.0796651,0.70752925,0.6038155,-0.08912137,0.7992927,0.4828553,-0.031469688,0.7444584,0.5394957,-0.06499551,0.730811,0.6185559,-0.07412629,0.73732185,0.64716536,-0.0766318,0.8424164,0.5294942,-0.03797814,0.78766114,0.5949032,-0.072476834,0.7654337,0.6570006,-0.069469206,0.7678683,0.6675886,-0.061643183,0.8736737,0.5877167,-0.047381513,0.8346067,0.6342719,-0.06861614,0.8065976,0.6726117,-0.06566403,0.80038714,0.67687476,-0.05924245
றே,230,0.20328978,0.6166444,5.8431755e-07,0.26930222,0.59434456,-0.040622797,0.32468525,0.5043709,-0.057058003,0.36468658,0.42807692,-0.071574815,0.4042467,0.3722138,-0.08502959,0.2862512,0.39095712,-0.053062435,0.31654036,0.29102206,-0.089345254,0.33648774,0.22574703,-0.10976153,0.3536283,0.1683551,-0.123019606,0.23384616,0.38066453,-0.056336958,0.24175438,0.28391865,-0.10263808,0.25472438,0.2146691,-0.12676018,0.26485625,0.15409161,-0.13837585,0.18382363,0.39980638,-0.06302094,0.19423497,0.3703806,-0.12524669,0.21274398,0.4532781,-0.13519354,0.22694601,0.5160309,-0.1265526,0.13979174,0.44125906,-0.07215979,0.15490201,0.4524446,-0.12530419,0.17979324,0.5142519,-0.13418682,0.19881114,0.5592656,-0.12911476
க்,13,0.13429043,0.5607174,-4.05222e-07,0.19784743,0.5376518,-0.03726453,0.26663822,0.47497705,-0.057285078,0.3341469,0.4456099,-0.07391061,0.38562477,0.44657993,-0.08422345,0.2254835,0.3245279,-0.027292054,0.26505873,0.3228027,-0.06594108,0.24034499,0.39822832,-0.08640933,0.22395107,0.40832305,-0.09747043,0.17832446,0.31066734,-0.024263985,0.21680331,0.3253991,-0.061482705,0.19718161,0.41482866,-0.06960413,0.18257266,0.4108729,-0.069521934,0.13009249,0.3168301,-0.027527507,0.1607833,0.32911614,-0.06285223,0.15467726,0.40864944,-0.054778166,0.14484064,0.4051705,-0.042778786,0.08545033,0.3323447,-0.033870906,0.11094901,0.33015272,-0.050315615,0.1142364,0.38714176,-0.038189054,0.10460288,0.39360854,-0.02521758
கூ,36,0.7255442,0.48358166,3.032792e-07,0.6392678,0.48558187,-0.0201913,0.5652108,0.4273613,-0.026304953,0.51669544,0.36199963,-0.028845012,0.47301418,0.3211278,-0.031152291,0.60614574,0.33481294,-0.04871589,0.5691214,0.23956807,-0.067193024,0.5455077,0.19152637,-0.073236614,0.5259556,0.15007573,-0.07937993,0.6550072,0.3184869,-0.05582091,0.65016544,0.22099306,-0.08148161,0.64365745,0.15514621,-0.095990285,0.64175487,0.0985758,-0.1077339,0.6974819,0.330331,-0.06365932,0.7061134,0.28153664,-0.10176501,0.70162815,0.24243641,-0.12748982,0.7019543,0.21081573,-0.14365937,0.7285873,0.36371583,-0.07081883,0.72838306,0.38374504,-0.1103194,0.7240678,0.42349994,-0.1301653,0.7250608,0.44939598,-0.14317313
ப,127,0.22097608,0.7955073,-1.10102555e-07,0.27790883,0.74739355,-0.028179795,0.3146115,0.6609657,-0.04874801,0.32219833,0.58305806,-0.07054674,0.28718948,0.5413122,-0.09179504,0.2976514,0.51701117,-0.039696023,0.3168719,0.39342618,-0.06983464,0.32762352,0.31815326,-0.08593659,0.33116812,0.2516098,-0.09615602,0.244225,0.5220371,-0.04674946,0.25281823,0.473484,-0.10585427,0.26894495,0.5807999,-0.12258421,0.27998158,0.6479749,-0.11942955,0.19646287,0.54213834,-0.056110226,0.20267208,0.49917138,-0.109271064,0.23064834,0.59561235,-0.106326334,0.24820909,0.6636513,-0.089197926,0.1534105,0.5735615,-0.06790336,0.13519658,0.48063713,-0.0980742,0.12674786,0.422661,-0.09924362,0.120518684,0.35986677,-0.093747646
ண்,18,0.859694,0.6614065,-4.3980438e-07,0.7450444,0.67107236,-0.018492443,0.63193655,0.7532949,-0.049429175,0.59059554,0.8738587,-0.07623734,0.6352248,0.94080746,-0.103400454,0.6648039,0.6487875,-0.10672672,0.61713636,0.86179423,-0.14477885,0.65031695,0.86097425,-0.15016393,0.6683849,0.8125476,-0.15096776,0.7429412,0.6659435,-0.11980853,0.693798,0.9102747,-0.15741198,0.71291524,0.8901421,-0.14803573,0.7252056,0.8256981,-0.14319193,0.81296515,0.70070845,-0.1301777,0.75920075,0.92639756,-0.16575423,0.77348894,0.89185494,-0.14746591,0.783295,0.82032865,-0.13346756,0.8718274,0.74640214,-0.14000605,0.8243092,0.9079475,-0.16737998,0.82708496,0.87796843,-0.15826282,0.836365,0.81378555,-0.15085723
ரீ,166,0.30229032,0.66247666,1.4509322e-07,0.36655974,0.62045,-0.026475452,0.41552508,0.5339792,-0.039595313,0.45813787,0.46658838,-0.055777512,0.49968314,0.43143538,-0.06973242,0.36184117,0.41876724,-0.021668449,0.35736716,0.3121546,-0.058797013,0.3684932,0.32088307,-0.081370786,0.3756981,0.35536394,-0.09124391,0.31640902,0.41743132,-0.029540421,0.3052076,0.29568776,-0.060941134,0.301679,0.2265513,-0.0829269,0.29304215,0.17349072,-0.0973899,0.27574605,0.44400057,-0.043033313,0.25178665,0.35942465,-0.08282561,0.2752273,0.40522155,-0.09367986,0.2991084,0.45511383,-0.09255143,0.23682532,0.48576584,-0.059024762,0.21817254,0.41520402,-0.08931552,0.2379963,0.43834436,-0.093057476,0.26199052,0.4750206,-0.090338
ணே,98,0.8697144,0.71369314,5.545564e-07,0.7941309,0.67799723,-0.017994814,0.7421047,0.60228467,-0.028121946,0.71887773,0.52332115,-0.036789343,0.69709516,0.4673797,-0.047042333,0.7878048,0.5148192,-0.038409,0.7716876,0.41293156,-0.06470475,0.76083845,0.34771103,-0.08313983,0.75308436,0.29143888,-0.09653992,0.832481,0.5074077,-0.048359755,0.8274219,0.3945112,-0.0732107,0.82153356,0.31791094,-0.09255809,0.81747776,0.2537272,-0.106917545,0.8749102,0.5229316,-0.059914008,0.88138586,0.4204515,-0.08837851,0.88279134,0.3498423,-0.106178634,0.88180655,0.2882436,-0.11794735,0.9143336,0.5560776,-0.0719574,0.93530697,0.48042732,-0.10073311,0.94626856,0.42832357,-0.112415016,0.9540816,0.38004935,-0.11933164
வொ,196,0.31855357,0.6302235,3.0540068e-07,0.3832863,0.57492685,-0.02771757,0.4292719,0.47591195,-0.042486183,0.4587947,0.39302278,-0.05923357,0.491602,0.3394856,-0.0743566,0.3530135,0.36681062,-0.018756453,0.33522138,0.26006174,-0.056510385,0.35370228,0.25977296,-0.08105259,0.37178466,0.29692033,-0.09067962,0.30860958,0.36897773,-0.024033029,0.28926474,0.2482163,-0.04504963,0.27788216,0.17050132,-0.05900795,0.2653551,0.10784119,-0.06736176,0.272403,0.39572904,-0.036625504,0.24507657,0.2902733,-0.056991912,0.22684652,0.22133775,-0.06746811,0.21113501,0.16581137,-0.07324498,0.23824926,0.44222,-0.05307872,0.20385458,0.37441507,-0.06986064,0.17854817,0.3312824,-0.07518689,0.15768357,0.2909101,-0.07689768
லே,182,0.7065108,0.7463697,5.506688e-07,0.6508971,0.6768942,-0.03827015,0.6124279,0.5805268,-0.065874435,0.58227456,0.49805632,-0.08914308,0.5496706,0.4393987,-0.11415942,0.6831981,0.52880627,-0.06887515,0.6767371,0.4110178,-0.10524005,0.6794307,0.33505687,-0.12740065,0.6876888,0.27201802,-0.1422665,0.7401035,0.53760105,-0.07284399,0.77121717,0.41471437,-0.10677908,0.79598373,0.33224624,-0.12770058,0.81901455,0.26254863,-0.14220668,0.7871999,0.5681352,-0.079664715,0.8254043,0.45889893,-0.11557396,0.8524579,0.38096327,-0.13611442,0.87459195,0.31108642,-0.14861485,0.82723254,0.61325794,-0.08828313,0.87569696,0.53535384,-0.118761025,0.91077435,0.48380467,-0.13101053,0.9397329,0.43479705,-0.13867153
பொ,136,0.21210974,0.60922164,1.2324915e-07,0.26420504,0.5966215,-0.016115928,0.3115502,0.55520403,-0.031263705,0.34183443,0.51892054,-0.047002938,0.34468475,0.47858232,-0.0622914,0.30310696,0.42698708,-0.028396476,0.35829228,0.3768299,-0.049976796,0.40072358,0.35645366,-0.061104987,0.43309072,0.34070984,-0.06885973,0.2740836,0.41787124,-0.038187884,0.33125895,0.391167,-0.07778973,0.33242053,0.45877317,-0.09221821,0.31903628,0.50589544,-0.09431377,0.24330342,0.4252174,-0.04965231,0.29454702,0.41431496,-0.089651845,0.30727896,0.48353735,-0.09665973,0.3050811,0.5277583,-0.09341501,0.21205878,0.44548365,-0.061617203,0.22460699,0.3831382,-0.090531014,0.23817533,0.34395742,-0.10185487,0.2470674,0.30089164,-0.10754303
ஐ,8,0.22161013,0.4422749,-5.1961212e-08,0.30927795,0.48000726,-0.02913568,0.37186465,0.52811813,-0.058214597,0.38857698,0.5752291,-0.08439179,0.36239177,0.60213894,-0.110055104,0.32348514,0.42802978,-0.085385814,0.33409885,0.5676609,-0.121288255,0.32729477,0.5829503,-0.14204583,0.31330135,0.5480381,-0.1566763,0.26074353,0.42814308,-0.09197256,0.2751401,0.5953249,-0.11670778,0.27812162,0.586887,-0.116369985,0.27533564,0.5375743,-0.123038426,0.20797142,0.44768026,-0.09901638,0.22336161,0.6059711,-0.116203144,0.23053402,0.58686846,-0.10128541,0.23389965,0.5392547,-0.096095145,0.16633551,0.47415623,-0.111140855,0.18129727,0.6003565,-0.125379,0.18545765,0.5861608,-0.11717712,0.1810703,0.54537994,-0.11415199
லெ,181,0.21571144,0.47725636,-5.789777e-07,0.26986396,0.42191282,-0.028128093,0.3041764,0.34182948,-0.039833803,0.32764253,0.26946363,-0.050434526,0.34742907,0.21943006,-0.05496578,0.24556802,0.26213765,-0.024942387,0.23981416,0.21358198,-0.05542555,0.24494419,0.2778891,-0.065306045,0.2493635,0.32800204,-0.06428341,0.19974081,0.26853603,-0.023486238,0.19804385,0.23218217,-0.06508354,0.21374983,0.31189033,-0.07510971,0.22326533,0.35904637,-0.07165753,0.15750304,0.2835868,-0.02720024,0.146461,0.23705073,-0.065711446,0.17152233,0.29855278,-0.06833362,0.19025408,0.34058464,-0.059474047,0.11954462,0.30774355,-0.03278471,0.08597751,0.23967879,-0.05353199,0.065082744,0.20364323,-0.058584686,0.045500442,0.16181955,-0.057720583
ளை,219,0.6431468,0.60735536,-8.6196894e-07,0.5754624,0.5641876,-0.02274324,0.532412,0.4832939,-0.03250784,0.50912267,0.42723724,-0.041113164,0.4797719,0.38732716,-0.04697284,0.6000617,0.39791122,-0.022052044,0.5674546,0.44442594,-0.0489164,0.5541488,0.48883295,-0.06775929,0.55340385,0.49812615,-0.07968392,0.6440637,0.41109073,-0.025249403,0.60210323,0.4800642,-0.046962123,0.59006053,0.51578355,-0.056037135,0.595455,0.5090451,-0.06281148,0.6837575,0.44423103,-0.03217822,0.64606506,0.5042225,-0.05680436,0.63159895,0.53195065,-0.055927318,0.633636,0.524186,-0.0534932,0.7170204,0.4844921,-0.04182519,0.693555,0.52152205,-0.059122965,0.6766955,0.5408082,-0.057030402,0.67480266,0.54081607,-0.053173907
கூ,36,0.7882103,0.707666,7.81094e-07,0.718501,0.64774334,-0.042336542,0.6670463,0.52714676,-0.061799664,0.64053994,0.42342532,-0.07471308,0.6193269,0.34209567,-0.088953115,0.75568867,0.4276048,-0.061683677,0.77113837,0.28532082,-0.096269615,0.7858999,0.1940356,-0.120182954,0.80169195,0.116732895,-0.13711706,0.8160091,0.43989027,-0.067174956,0.83696294,0.28889418,-0.103663,0.857762,0.18773225,-0.12858066,0.87881863,0.102060854,-0.14324862,0.8678398,0.47873724,-0.07580107,0.89314735,0.342503,-0.12437508,0.90589297,0.2550819,-0.1516614,0.9164716,0.17837936,-0.16623053,0.91586375,0.5408752,-0.08546357,0.9390134,0.4714917,-0.13395654,0.9170938,0.49776286,-0.14359751,0.89291084,0.5337652,-0.14524572
ழ்,27,0.21554622,0.48926604,1.5825755e-07,0.26844078,0.46453455,-0.03674317,0.31349862,0.39502788,-0.057227686,0.34322858,0.33732402,-0.0732895,0.37274766,0.29322752,-0.08553712,0.2587669,0.29838163,-0.04463877,0.27484143,0.2730799,-0.08675534,0.2758676,0.33888176,-0.11247032,0.26921153,0.39039004,-0.123023435,0.21941468,0.28596425,-0.046438735,0.23241775,0.18245867,-0.08048165,0.23749472,0.11400761,-0.10285423,0.24099363,0.046775,-0.11624806,0.18025635,0.300073,-0.05286759,0.18177128,0.2020041,-0.08673908,0.18848461,0.13856447,-0.10387607,0.19647408,0.07734476,-0.11160002,0.14158455,0.33853376,-0.061188832,0.13294771,0.27206895,-0.081793375,0.13449317,0.2479663,-0.08194298,0.13506949,0.22564939,-0.079826474
ட்,17,0.17106205,0.35936278,-1.04359756e-07,0.19721733,0.39716446,-0.033757012,0.21005003,0.45361882,-0.06345555,0.20451789,0.49895853,-0.08586859,0.18574412,0.54084605,-0.10711093,0.2190849,0.39424676,-0.10147173,0.21530277,0.45330244,-0.14159241,0.20830691,0.46653962,-0.15573555,0.20791955,0.47185838,-0.16211005,0.18601033,0.3730214,-0.09858983,0.16211364,0.43888396,-0.14516631,0.15507284,0.4031094,-0.14737836,0.1558493,0.37476242,-0.14512213,0.1497278,0.36700588,-0.095175356,0.12936649,0.43238193,-0.13990481,0.13076378,0.40035757,-0.1278711,0.13596159,0.371192,-0.1133466,0.117928036,0.3712535,-0.09248178,0.107161656,0.42908138,-0.12477537,0.10967419,0.4089119,-0.11890386,0.11158046,0.3850162,-0.111078255
போ,137,0.21846251,0.8018154,-1.0204272e-07,0.27488834,0.75167567,-0.029672187,0.3129673,0.66713107,-0.05147307,0.3199083,0.58942276,-0.073987916,0.2816852,0.5443451,-0.096136734,0.28661072,0.5232507,-0.042044956,0.3068188,0.40578434,-0.07246732,0.31616765,0.33218706,-0.08731429,0.31974435,0.26678336,-0.09656815,0.23335376,0.5308142,-0.04955558,0.24592777,0.48424548,-0.10990752,0.26050612,0.5884607,-0.12733,0.27102876,0.65442514,-0.124384485,0.18579207,0.5552248,-0.059448246,0.19547626,0.5172198,-0.116477355,0.22594799,0.60857177,-0.11742076,0.24609046,0.6721037,-0.102312386,0.14374849,0.5910118,-0.07128598,0.11987391,0.49889833,-0.10483746,0.10804281,0.4394097,-0.109047316,0.098722115,0.37536252,-0.105583824
